id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
958,"Bright, Modern Garden Unit - 1BR/1B",1169,Holly,,Western Addition,37.76931038,-122.4338563,Entire home/apt,170,1,143,6/20/2018,1.31,1,134
5858,Creative Sanctuary,8904,Philip And Tania,,Bernal Heights,37.74511233,-122.4210179,Entire home/apt,235,30,112,8/6/2017,1,1,354
7918,A Friendly Room - UCSF/USF - San Francisco,21994,Aaron,,Haight Ashbury,37.7666896,-122.4525046,Private room,65,32,17,11/21/2016,0.16,7,365
8014,Newly Remodeled room in big house WIFI market,22402,Jia,,Outer Mission,37.73074593,-122.4484086,Private room,63,30,83,5/7/2018,1.15,2,155
8142,Friendly Room Apt. Style -UCSF/USF - San Francisco,21994,Aaron,,Haight Ashbury,37.76487219,-122.451828,Private room,65,32,7,8/12/2017,0.15,7,296
8339,Historic Alamo Square Victorian,24215,Rosy,,Western Addition,37.77524859,-122.4363737,Entire home/apt,475,7,26,11/10/2017,0.24,2,89
8567,Lovely 2BR flat Great Location,25601,Sandy,,Western Addition,37.78470745,-122.4455543,Entire home/apt,255,2,28,5/6/2018,0.26,1,41
8739,"Mission Sunshine, with Private Bath",7149,Ivan & Wendy,,Mission,37.7591889,-122.4223669,Private room,139,1,588,6/29/2018,5.41,2,122
9225,Artful Potrero Separate Floor with Garden,29674,Gae,,Potrero Hill,37.76258885,-122.4054306,Private room,135,1,403,7/2/2018,3.81,1,302
10251,Victorian Suite in Inner Mission,35199,Roman & Sarah,,Mission,37.75874295,-122.413272,Entire home/apt,265,3,289,6/29/2018,2.69,1,267
10832,Union Square Modern Loft,38836,Bernat,,Downtown/Civic Center,37.7857389,-122.4079771,Entire home/apt,139,30,17,4/20/2018,0.26,3,328
12041,Sunny/Sunset view room UCSF/USF - San Francisco,21994,Aaron,,Haight Ashbury,37.77018946,-122.4459422,Private room,85,32,5,10/16/2016,0.06,7,275
12042,Sunny/Sunset view room UCSF/USF - San Francisco,21994,Aaron,,Haight Ashbury,37.76894262,-122.4477822,Private room,85,32,5,10/18/2015,0.08,7,365
12522,Perfectly located Castro,18431,Brenda,,Castro/Upper Market,37.76074548,-122.4303241,Private room,79,3,363,6/27/2018,3.52,1,14
14125,Gallery Residence,55475,Olivia,,Mission,37.7549067,-122.422455,Entire home/apt,215,3,91,6/14/2018,0.88,1,284
18904,Tranquil Lower Haight w/pvt bath,72464,Patrick,,Western Addition,37.77252152,-122.4321565,Private room,110,2,321,7/3/2018,4,2,29
19040,Mission Garden Retreat,72731,David,,Mission,37.76348967,-122.415174,Entire home/apt,188,5,221,6/16/2018,2.18,1,0
21334,Studio loft on top of Russian Hill,81455,Joe,,Nob Hill,37.79579579,-122.4153345,Entire home/apt,150,4,109,6/28/2018,1.1,1,31
21914,A Friendly Room Apt. Style-UCSF/USF-San Francisco,21994,Aaron,,Haight Ashbury,37.7648003,-122.4525132,Private room,65,32,14,8/16/2017,0.17,7,341
23540,Modern in-Law Unit in the Happening,92400,Daniel & Svetlana,,Mission,37.75065033,-122.4198382,Entire home/apt,225,1,91,6/25/2018,0.9,1,119
23611,Bernal Heights Gem with Fab Views !,18732,Cecilia,,Bernal Heights,37.74556319,-122.4120681,Private room,95,3,217,7/1/2018,2.17,2,340
23630,Castro Guest Suite With Continental Breakfast,93257,Daniel,,Castro/Upper Market,37.75963016,-122.4414323,Entire home/apt,155,3,319,6/7/2018,3.25,1,271
23680,Central Location & Golden Gate View,93737,Gia,,Pacific Heights,37.7931804,-122.4277325,Entire home/apt,178,5,20,6/9/2018,0.2,1,17
24450,Atelier Noe 25 Studio in Noe Valley,99058,Judith,,Noe Valley,37.74884818,-122.436726,Entire home/apt,199,2,192,6/28/2018,1.92,1,105
24463,"Potrero Hill ""Nest"" Quiet, Comfy & Convenient",99128,Cathryn,,Potrero Hill,37.75644595,-122.3991023,Private room,155,2,246,6/17/2018,2.49,2,134
24685,Castro/Haight San Francisco,100567,Alison,,Haight Ashbury,37.7716176,-122.438362,Private room,79,1,161,6/30/2018,1.66,1,289
24723,Apartment-like rooms in PacHeights,100800,Cynthia,,Western Addition,37.78716465,-122.4338611,Entire home/apt,195,2,244,6/29/2018,2.43,2,135
25094,San Francisco's Luxury Oasis On Noe,103339,Bruce,,Noe Valley,37.74187613,-122.4312154,Private room,150,5,16,6/28/2018,0.64,1,321
25463,Modern Zen in the Lower Haight,72464,Patrick,,Western Addition,37.77728949,-122.4342115,Private room,110,2,361,7/4/2018,3.85,2,28
25662,"Convenient, quiet, private!",106005,Gayle,,Potrero Hill,37.76212202,-122.395409,Private room,125,4,276,6/30/2018,2.84,1,275
25927,"CALEF HOUSE Rm 2, Priv Rm in Beaut SF Victorian",109045,Ronda,,Western Addition,37.78894736,-122.4303064,Private room,110,2,60,5/22/2018,0.8,3,296
26408,Huge Central Victorian/Alamo Square,111141,Isabella,,Western Addition,37.77477848,-122.4314987,Entire home/apt,393,2,26,11/9/2017,0.31,1,1
27025,"Elegant, Antique Edwardian Apartment on Castro",115673,Luis,,Castro/Upper Market,37.76297968,-122.4313644,Entire home/apt,175,30,129,3/31/2018,1.3,1,94
27028,Secret Mission Garden,7149,Ivan & Wendy,,Mission,37.76097556,-122.4215808,Private room,199,1,23,4/19/2018,0.6,2,5
29557,gigi's bed and breakfast,126036,Gigi,,Outer Richmond,37.77930832,-122.5051832,Private room,155,2,33,4/19/2018,0.34,1,271
32414,"Cozy, Sunny and Private Space",140251,Lisa,,Bernal Heights,37.74025451,-122.4125909,Entire home/apt,150,30,93,5/31/2018,0.96,1,214
32802,Garden Flat in Telegraph Hill,141990,Bosco,,North Beach,37.79834682,-122.4046102,Entire home/apt,195,4,27,9/9/2017,0.28,1,124
33577,Potrero Hill Garden Suite,145258,Kepa,,Potrero Hill,37.76514606,-122.3975009,Entire home/apt,220,1,575,6/21/2018,6.49,4,305
33578,Potrero Hill Garden Lookout,145258,Kepa,,Potrero Hill,37.76525619,-122.3973047,Entire home/apt,220,1,526,6/22/2018,5.55,4,308
38607,Beautiful Upscale House Private BR,165574,Jonathan,,Presidio Heights,37.78197462,-122.4580923,Private room,119,3,179,7/2/2018,1.85,3,12
