id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
41399,"Heart of San Francisco, the Mission",180530,Anton,,Mission,37.75610669,-122.4186619,Entire home/apt,290,3,61,11/9/2017,0.95,1,247
41423,Guest Cottage - SF,180715,Dana,,Glen Park,37.73556832,-122.4330159,Entire home/apt,126,1,145,1/1/2018,1.6,1,301
41609,Spacious Quiet SF Downtown Retreat,54299,Peter,,Nob Hill,37.79001329,-122.412916,Entire home/apt,170,30,12,1/9/2018,0.14,1,221
42403,Captain's Quarters,127367,Annette,,Bernal Heights,37.7335583,-122.4185132,Entire home/apt,85,30,6,6/1/2017,0.08,25,278
42408,"Crows Nest,Charming Jr. One Bedroom",127367,Annette,,Bernal Heights,37.7340436,-122.4178129,Entire home/apt,85,30,4,4/6/2016,0.05,25,306
42454,"Sunny, quiet Mission District Flat",177664,Gerard,,Mission,37.75117094,-122.4132586,Entire home/apt,92,3,7,8/21/2017,0.09,1,14
42577,Garden View Hideaway - PET FRIENDLY,127367,Annette,,Potrero Hill,37.75447178,-122.3881318,Entire home/apt,150,30,2,8/20/2017,0.04,25,293
43732,Argent Alley Panorama,127367,Annette,,Twin Peaks,37.75191264,-122.4438536,Entire home/apt,117,30,5,8/7/2017,0.07,25,307
43778,Lyon's Den,127367,Annette,,Haight Ashbury,37.7727162,-122.4408369,Entire home/apt,120,30,7,10/2/2014,0.08,25,365
45299,Private Castro Studio with 2 beds,178043,Chas,,Castro/Upper Market,37.76068104,-122.4333063,Entire home/apt,149,3,98,1/30/2018,1.08,2,26
45956,Private Room  Heart of City --The Silver Room,202591,Jose,,Western Addition,37.7724811,-122.4301613,Private room,125,3,36,12/22/2017,0.56,3,25
51073,In the Heart of San Francisco,234859,Michelle,,South of Market,37.77116329,-122.4219948,Private room,180,2,142,1/31/2018,1.6,2,16
51773,Prime Location - Small Cozy Room,216682,Jay,,Pacific Heights,37.79311697,-122.4259984,Private room,55,30,158,12/14/2017,1.92,6,365
52650,Private Suite w/ Parking & Own Bath,243725,Alex,,Twin Peaks,37.75253497,-122.4511505,Private room,149,2,40,12/6/2017,0.48,3,128
52713,Nob Hill room with a great view,244235,Michael,,Nob Hill,37.79666781,-122.4127171,Private room,99,30,164,9/9/2017,1.84,1,158
54634,Studio Apartment Lafayette Park,216682,Jay,,Pacific Heights,37.79166446,-122.4264979,Entire home/apt,115,30,32,12/15/2017,0.36,6,325
56200,Furnished Grand Victorian Flat,266101,Christie,,Western Addition,37.78628892,-122.4395658,Private room,132,30,266,7/10/2017,3,1,333
56621,Prime Location - Large Private Room,216682,Jay,,Pacific Heights,37.79215669,-122.4245818,Private room,63,30,116,8/21/2017,1.31,6,364
56715,Downtown Rainbow,252376,Megan,,Downtown/Civic Center,37.78815514,-122.417216,Entire home/apt,187,30,68,1/25/2018,0.78,1,188
56720,Quiet Queen Bed w/ Bath & Parking,243725,Alex,,Twin Peaks,37.75335073,-122.4509542,Private room,109,2,43,11/15/2017,0.52,3,106
57561,"Bernal Heights Apartment, Patio + Parking",272890,Theodore,,Bernal Heights,37.74720292,-122.4144302,Entire home/apt,175,2,197,1/1/2018,2.24,1,330
57676,"Bartlett Gardens: Spacious, bright!",142882,Jessica And Sebouh,,Mission,37.75762489,-122.4193257,Private room,99,2,82,11/12/2017,0.99,4,344
59314,Cute and Cozy Condo near Moscone,284785,Angela,,South of Market,37.7769789,-122.4104686,Entire home/apt,225,30,124,1/11/2018,1.44,1,272
59344,Private and Quiet Noe Valley Studio,284917,John,,Noe Valley,37.74565481,-122.4286438,Entire home/apt,135,2,239,1/24/2018,2.74,1,206
59381,Ultra Panoramic View Contemporary,285168,Bill,,Russian Hill,37.8031015,-122.4159579,Private room,109,2,173,1/28/2018,2.11,4,55
59702,Garden Cottage Charming!,287136,Toby,,Bernal Heights,37.74208535,-122.414088,Private room,150,2,173,11/7/2017,2.14,1,333
60659,Lovely Flat on Telegraph Hill,292491,Margie,,North Beach,37.80240771,-122.4092535,Private room,150,2,154,1/28/2018,1.8,1,42
62519,Lovely Room in Charming Edwardian,304426,Abhay,,Glen Park,37.74182583,-122.4299312,Private room,120,2,28,8/21/2017,0.77,2,25
62651,GORGEOUS SAN FRANCISCO HOME,185923,Agnieszka,,Mission,37.762455,-122.4243211,Entire home/apt,740,3,42,1/10/2018,0.53,1,359
63247,Lovely open plan en-suite bed/bath,290120,Anne,,Mission,37.74925779,-122.4139752,Entire home/apt,149,2,244,11/6/2017,2.81,2,348
