id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
1504826,"BRIGHT SPACIOUS 4 BR, Huge Yard, Parking!",6017407,Ethan,,Outer Mission,37.72447083,-122.4416177,Entire home/apt,350,6,18,3/30/2018,0.35,1,45
16868984,Mission Apprentice Artist 1 Bedroom,112412497,Mary,,Bernal Heights,37.74189143,-122.4212389,Private room,124,30,4,3/13/2017,0.29,1,87
23045311,Amazing Victorian in Incredible Location,4946282,Josh,,Western Addition,37.77624966,-122.428457,Entire home/apt,149,1,0,,,1,0
23271975,Stratford Hotel Room Queen,173206762,Stratford,,Downtown/Civic Center,37.7874138,-122.4087803,Private room,79,1,3,3/11/2018,3,63,0
19611671,Renovated 3 bedroom unit w/ sauna in central area,137916556,Ilona,,Presidio Heights,37.7832308,-122.449888,Entire home/apt,185,31,9,11/12/2017,1.1,1,0
19196925,Moscone Conference Suite - 2 Bedrooms 2 Bathrooms,3428976,John,,South of Market,37.77898395,-122.4034686,Entire home/apt,347,30,8,12/31/2017,0.94,1,140
23551086,Stratford Hotel Room Full,173206762,Stratford,,Downtown/Civic Center,37.78667514,-122.4067897,Private room,69,1,1,3/15/2018,1,63,3
19416317,Spacious bedroom centrally located in Russian Hill,53785259,Sf,,Russian Hill,37.79662995,-122.4180921,Private room,149,30,6,10/1/2017,0.67,1,0
19286324,San Francisco Nob Hill flat with Secret Garden,135059507,Ross,,Nob Hill,37.7920047,-122.412756,Entire home/apt,450,30,16,2/10/2018,1.7,1,343
19576132,Charming Apartment with Perfect Location! Parking!,70491455,Marissa,,Castro/Upper Market,37.76479188,-122.426711,Entire home/apt,128,30,38,3/1/2018,4.21,1,9
19182186,Classic Castro Victorian 5BDR Charmer,134170466,Matt,,Castro/Upper Market,37.76888247,-122.432797,Entire home/apt,599,30,34,12/29/2017,3.54,1,6
18475146,big room in san francisco,128144143,Aleksejs,,Inner Richmond,37.77849945,-122.4687726,Private room,60,31,0,,,1,0
18151860,Affordable Crash Pad,123914250,Susan,,Chinatown,37.79571343,-122.405921,Shared room,28,999,0,,,1,0
16027559,Modern Spacious Full Floor Flat in Russian Hill,1429422,Jeeun,,Russian Hill,37.79680802,-122.4216331,Entire home/apt,295,30,10,2/4/2018,0.92,1,173
15722690,NEW Attic Studio - Vaulted Ceiling,10829039,Viviane&Lele,,Inner Richmond,37.77600568,-122.4642277,Private room,200,30,12,10/13/2017,0.81,6,363
15773850,"Spacious and Bright, Laundry & Garage included",101986074,Margarita,,Bernal Heights,37.74763242,-122.4085484,Entire home/apt,225,30,9,11/9/2017,0.53,2,138
15843007,Private Cozy Apartment in Little Hollywood,9270394,Wilson,,Visitacion Valley,37.71294424,-122.3988724,Entire home/apt,82,30,64,3/21/2018,3.83,1,20
15591362,Stylish Garden Sanctuary in Sunny Potrero Hill,7058705,Kris,,Potrero Hill,37.75636644,-122.4022954,Entire home/apt,149,30,35,1/20/2018,2.18,1,206
15904098,"316 - Private Room, Clean and New!",93714995,325,,Financial District,37.78858826,-122.4052771,Private room,59,32,20,3/1/2018,1.23,13,90
20439522,Studio in Central SF,145865371,Vinayak,,Western Addition,37.78564387,-122.4222617,Entire home/apt,120,30,5,10/7/2017,0.67,1,90
20194233,NEW stunning spacious apt with sweeping views,759605,Cathy,,Noe Valley,37.75567055,-122.4339423,Entire home/apt,233,28,10,2/2/2018,1.43,1,234
20033761,Cozy SF Home,17054038,Stefan,,Bayview,37.7322081,-122.393967,Entire home/apt,149,31,4,1/2/2018,0.82,2,94
19905527,THE RETREAT :  SF  Dream Golden Gate & City Views!,28223109,Jennifer Carolyn,,Seacliff,37.78623451,-122.4934172,Entire home/apt,10000,30,10,12/16/2017,1.4,3,365
20422326,Beautiful Modern Apartment in Convenient Location,143799785,David,,Russian Hill,37.79945065,-122.4110138,Private room,400,30,10,11/10/2017,1.53,1,177
15471316,Classic SF Mission Victorian Bedroom - BIG & Sunny,2001297,Urs,,Mission,37.75899436,-122.4075427,Private room,80,31,2,1/1/2017,0.12,6,255
15409616,Exquisitely Decorated Edwardian in Pacific Heights,98671264,James,,Pacific Heights,37.79637043,-122.4313752,Entire home/apt,800,2,8,3/11/2018,0.92,1,23
15313698,Sea Cliff Apartments: Private Garden One Bedroom,87471225,Anya,,Outer Richmond,37.78483804,-122.479729,Entire home/apt,115,31,1,3/9/2017,0.06,2,310
15258987,Ocean Breeze and Sunset View by the Beach,29248670,Marilou,,Parkside,37.7442087,-122.5055528,Private room,135,31,5,8/20/2017,0.28,3,365
15208293,Gracious Home Nestled In Prestigious Forest Hills,79406824,Gregg A.,,West of Twin Peaks,37.74260179,-122.4593601,Entire home/apt,280,30,1,10/28/2016,0.06,2,88
