id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
22928870,"room near market st ,valencia st two twins center",62315747,Simon,,South of Market,37.77203159,-122.410701,Private room,65,1,1,1/31/2018,0.91,5,25
22928933,SOMA CONDO Room Share,127422643,Bill,,South of Market,37.77580791,-122.4077089,Private room,100,3,0,,,2,121
22937513,"Spacious, Modern 2bd/2ba. Great Location, Near GGP",169877024,Wendy,,Outer Richmond,37.78270739,-122.4816856,Entire home/apt,275,2,1,2/13/2018,1,1,87
22941729,Luxury Place - Center of San Francisco - Moscone,48589875,Ut,,Financial District,37.78572514,-122.4010617,Private room,200,2,1,1/30/2018,0.88,1,312
22943630,Spacious and Sunny Loft Apt. in the Heart of SF,169911909,Ben,,South of Market,37.77117109,-122.4138789,Entire home/apt,240,2,4,2/26/2018,4,1,1
22953350,Sunny Medditeranean in Noe Valley,6295982,Pablo,,Noe Valley,37.75368716,-122.4286423,Entire home/apt,249,3,2,2/25/2018,2,1,53
22959431,Master bedroom suite in Cole Valley/Haight St area,1886735,David,,Haight Ashbury,37.76766358,-122.4473237,Private room,115,2,0,,,3,77
22967577,North Beach with No Sand,170200817,Nodz,,North Beach,37.8039941,-122.411682,Entire home/apt,419,1,0,,,1,305
22968438,Private room with access to deck and backyard,159753287,Shaun,,Outer Sunset,37.74964787,-122.4876293,Private room,74,2,1,2/18/2018,1,3,236
22970151,Artistic 1BR Apartment in Beautiful Russian Hill,168622682,Ceri,,Russian Hill,37.79888301,-122.4233535,Entire home/apt,350,2,5,2/25/2018,5,1,115
22972678,"Luxury, Modern 2Bed/2Ba. Private Patios, Near GGP",3429328,Wendy,,Outer Richmond,37.7816044,-122.4822996,Entire home/apt,297,2,2,2/18/2018,2,2,128
22980508,Spacious remodeled home in central neighborhood,170361642,Megan,,West of Twin Peaks,37.74069088,-122.4460722,Entire home/apt,405,3,0,,,1,16
22986782,Cozy Portola Home - Private Bedroom and Bathroom,64375178,Christopher,,Excelsior,37.7225709,-122.4090434,Entire home/apt,129,2,0,,,1,43
22987376,private room close to gg park and bridge 5 min dt,117841976,Paul,,Western Addition,37.7792517,-122.4412983,Private room,95,1,0,,,6,4
22990630,"Cozy Bedroom with Private Bath near SFO, 101, SFSU",165737589,Claire,,Ocean View,37.71331362,-122.4699113,Private room,100,1,5,3/2/2018,5,2,169
22998690,"Inner Mission bedroom with skylights, private deck",4549697,Lu,,Mission,37.75780922,-122.4237049,Private room,100,3,0,,,2,8
23004935,Rainbow Room - Private Bedroom in a Warm Community,117141107,Amber,,Haight Ashbury,37.77063153,-122.4489546,Private room,60,1,5,2/28/2018,5,17,101
23009566,Potrero Hill Overlook by ONEFINESTAY,156158778,Mélissa,,Potrero Hill,37.76155363,-122.4017853,Entire home/apt,1082,1,0,,,1,274
23018782,Quiet Potrero Bedroom in Single Family Home,4894789,Sarah,,Potrero Hill,37.75538185,-122.3998085,Private room,200,10,0,,,2,89
23020140,SAN FRANCISCO BOUTIQUE HOTEL-SLEEPS 2 OR 4,64646820,Michelle,,Downtown/Civic Center,37.77898906,-122.4217366,Entire home/apt,169,1,1,2/8/2018,1,8,38
23025299,Your Cozy/Private Bedroom & Bathroom in SF     [A],170765678,Rachel,,Outer Mission,37.71164916,-122.4497111,Private room,79,1,1,2/23/2018,1,2,325
23026186,Private Bedroom in the Mission District,21545853,Elise And Joel,,Bernal Heights,37.74145264,-122.4229808,Private room,59,2,3,3/1/2018,3,1,27
23026398,Live like a local! Spacious and bright SF home.,9793189,Anastasia,,Crocker Amazon,37.70788941,-122.446275,Entire home/apt,125,4,0,,,2,6
23042417,One Bedroom Unit,132972183,Sheila,,Outer Sunset,37.75513647,-122.4857744,Entire home/apt,99,15,0,,,2,210
23045311,Amazing Victorian in Incredible Location,4946282,Josh,,Western Addition,37.77624966,-122.428457,Entire home/apt,149,1,0,,,1,0
23054267,Luxury 1x1 in 2x2 in the ❤️ of San Francisco,128169944,,,South of Market,37.7778317,-122.4144835,Private room,99,1,1,2/28/2018,1,3,333
23060340,Petite Auberge - Cozy Queen,162674732,Petite Auberge,,Downtown/Civic Center,37.78939573,-122.411732,Private room,219,1,0,,,4,27
23060429,Petite Auberge - Queen with Fireplace,162674732,Petite Auberge,,Downtown/Civic Center,37.78878186,-122.4120483,Private room,229,1,0,,,4,29
23060478,Petite Auberge - Deluxe Queen with Fireplace,162674732,Petite Auberge,,Downtown/Civic Center,37.78860655,-122.4109289,Private room,239,1,0,,,4,32
23060552,Petite Auberge - Deluxe King with Fireplace,162674732,Petite Auberge,,Downtown/Civic Center,37.78953092,-122.4106709,Private room,249,1,0,,,4,29
23074128,Large Bright Studio in North Beach!,15264218,James,,Russian Hill,37.8005833,-122.4162566,Entire home/apt,170,2,9,3/1/2018,9,1,121
23077217,Fun Boy’s room. Fast WiFi great amenities,5215966,Melissa,,Outer Sunset,37.75555436,-122.49382,Shared room,55,1,0,,,7,89
23087617,3BR/2BA Remodelled home in the heart of The Castro,2711732,Keith,,Castro/Upper Market,37.75962548,-122.4339803,Entire home/apt,1100,1,0,,,4,66
23090574,New & Modern in the heart of the city,171488079,Sal,,Nob Hill,37.79083998,-122.4145368,Entire home/apt,195,3,0,,,1,253
23095049,Remodeled Master Suite in the heart of The Castro,2711732,Keith,,Castro/Upper Market,37.75966073,-122.4348053,Private room,225,1,2,2/18/2018,2,4,170
23106047,Charming Garden Studio,6817200,Jayme,,Noe Valley,37.75208651,-122.4417569,Entire home/apt,135,1,1,2/19/2018,1,1,68
23106655,Potrero Hill Sunset Retreat,170427853,Al,,Potrero Hill,37.75436524,-122.3989738,Entire home/apt,149,2,2,3/2/2018,2,1,83
23111807,Newly Remodel Nice & Cozy Private Master Rm,157088607,Steve,,Outer Mission,37.7098285,-122.4532902,Private room,59,5,2,2/23/2018,2,3,173
23121061,Large and Bright room in the Heart of The Castro,2711732,Keith,,Castro/Upper Market,37.7611149,-122.4343123,Private room,175,1,4,2/25/2018,4,4,74
23122545,Family Home w/Free Parking+Laundry ~ Ocean Beach,164392538,Yevgen,,Outer Sunset,37.75188928,-122.4996529,Entire home/apt,248,2,0,,,2,46
23128402,Spacious Pied-à-Terre in SF's Mission District!,171872325,Irene And Kendall,,Mission,37.75250299,-122.4108171,Entire home/apt,220,2,0,,,1,63
23131682,New 1BR/1BA with Panoramic City and Bay View,30319894,Xu,,Visitacion Valley,37.72304776,-122.4053628,Private room,60,1,4,2/25/2018,4,2,0
23142556,Tastefully decorated luxury apartment,6139868,Tobias,,South of Market,37.77111225,-122.4041682,Entire home/apt,250,1,1,2/26/2018,1,1,38
23150717,Live like you own Church street in SF,100672984,Roberto,,Castro/Upper Market,37.76442858,-122.4276695,Entire home/apt,180,1,0,,,3,329
23163677,AMAZING DESIGNER SHOWHOME - prime location!!,58233162,Heather,,Downtown/Civic Center,37.78703642,-122.4163237,Entire home/apt,320,1,0,,,2,63
23166619,Luxurious apartment on top of whole foods,53641133,Xiaochen,,South of Market,37.78005136,-122.4003097,Private room,250,1,0,,,1,0
23171836,[No.1] Sunny Private Bedroom with shared Bathrooms,158495115,Sze,,Outer Mission,37.7082264,-122.4554145,Private room,55,1,0,,,6,166
23173614,Spacious Victorian - Vibrant Walkable Neighborhood,10412467,Andy,,Mission,37.75413438,-122.4110783,Private room,100,1,4,2/16/2018,4,2,44
23179561,Studio at Donatello Hotel near Union Square,47514427,Jeff,,Downtown/Civic Center,37.78819271,-122.4100965,Private room,235,1,0,,,14,15
23185870,Classic Home w/ Stunning Views of SF Rolling Hills,172378324,Mary,,Bernal Heights,37.74522174,-122.4128337,Private room,120,2,0,,,2,77
23191170,2RMs in Large House w/ Balconies & Stunning Views,14040690,Diego,,Russian Hill,37.80031121,-122.4111164,Private room,480,1,0,,,4,76
23191397,Nice Room in House w/ Stunning Balconies & Views,14040690,Diego,,Russian Hill,37.79978643,-122.4127789,Private room,180,1,0,,,4,43
23191522,"Room in Large House w/ Balcony, Patio & Views",14040690,Diego,,Russian Hill,37.79868013,-122.4127936,Private room,180,1,0,,,4,31
23204696,Queen bedroom with ensuite private bath,9080666,Sandy,,Outer Mission,37.72780582,-122.4339367,Private room,59,5,0,,,9,13
23205736,Modern Comfortable Studio For 5 People Center SF!!,172559950,Tong,,Downtown/Civic Center,37.78398496,-122.4145157,Entire home/apt,150,1,0,,,2,145
23207199,A  Beautiful  Ocean View Staycation,26903690,Denise,,Ocean View,37.70701965,-122.4635775,Entire home/apt,165,2,0,,,1,0
23207355,Modern / comfortable,13268352,Aziz,,South of Market,37.7749754,-122.3957778,Private room,100,4,0,,,3,7
23209264,"Relaxing and private, with views!",23741447,Linda,,Bayview,37.731786,-122.3873835,Entire home/apt,99,1,0,,,1,21
23217998,Business Ready in the heart of the Castro - W/D,2711732,Keith,,Castro/Upper Market,37.76102725,-122.4350069,Private room,120,1,1,2/28/2018,1,4,69
23230950,Sunny Victorian in Haight,4152894,Gena And,,Haight Ashbury,37.77168925,-122.4421499,Private room,250,2,0,,,1,73
23235919,San Fran Gem / great location/ 3plus BR/ 2.5 Bath,55485389,Trish,,Glen Park,37.73793722,-122.437762,Entire home/apt,300,2,0,,,1,44
23236224,Live like a local! Spacious room in SF home.,9793189,Anastasia,,Crocker Amazon,37.7077463,-122.4459533,Private room,60,2,1,2/28/2018,1,2,72
23236264,All new! Lovely garden apt near Golden Gate Park,172361613,Tim And Lisa,,Outer Richmond,37.777158,-122.4892246,Entire home/apt,120,2,0,,,1,71
23237103,Sunset City View near SF State and Bart Station,148875631,Carissa,,Ocean View,37.71590574,-122.4704535,Private room,205,1,0,,,6,322
23240184,Your Cozy/Private Bedroom & Bathroom in SF     [B],170765678,Rachel,,Outer Mission,37.71177231,-122.449991,Private room,80,1,1,2/27/2018,1,2,338
23251751,Bay Abode,7786255,Serena,,Outer Sunset,37.76281542,-122.499409,Entire home/apt,295,3,0,,,1,177
23253115,Stunning Victorian Great Neighborhood,9838978,Connie,,Mission,37.75279406,-122.4221502,Entire home/apt,250,6,0,,,3,68
23257763,"New furniture near SF State, No Cleaning Fee (2G)",148875631,Carissa,,Ocean View,37.71492291,-122.471435,Private room,88,1,6,2/27/2018,6,6,327
23258392,"New Modern Place, Close to Moscone & Union Square",3424714,Sean,,South of Market,37.77571077,-122.412531,Entire home/apt,300,1,2,2/20/2018,2,1,49
23258791,Desirable 2Br/2Ba SOMA/MissionBay/Moscone/AT&TPark,7184255,Aaron,,South of Market,37.77864455,-122.3973684,Entire home/apt,350,2,0,,,1,60
23269859,Stratford Hotel Room Queen,173206762,Stratford,,Downtown/Civic Center,37.78630197,-122.4088058,Private room,79,1,0,,,53,15
23271162,Stratford Hotel Room Queen,173206762,Stratford,,Downtown/Civic Center,37.78616374,-122.4086718,Private room,79,1,0,,,53,21
23271377,Stratford Hotel Room Queen,173206762,Stratford,,Downtown/Civic Center,37.7872516,-122.4085931,Private room,79,1,0,,,53,21
23271459,Stratford Hotel Room Queen,173206762,Stratford,,Downtown/Civic Center,37.78634979,-122.4088063,Private room,79,1,0,,,53,21
23271549,Stratford Hotel Room Queen,173206762,Stratford,,Downtown/Civic Center,37.78800972,-122.4068251,Private room,79,1,0,,,53,19
23271623,Stratford Hotel Room Queen,173206762,Stratford,,Downtown/Civic Center,37.78761087,-122.4069555,Private room,79,1,0,,,53,12
23271702,Stratford Hotel Room Queen,173206762,Stratford,,Downtown/Civic Center,37.78599699,-122.4083711,Private room,79,1,0,,,53,21
23271772,Stratford Hotel Room Queen,173206762,Stratford,,Downtown/Civic Center,37.78584932,-122.4076964,Private room,79,1,0,,,53,6
23271859,Stratford Hotel Room Queen,173206762,Stratford,,Downtown/Civic Center,37.78662447,-122.4082159,Private room,79,1,0,,,53,19
