id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
958,"Bright, Modern Garden Unit - 1BR/1B",1169,Holly,,Western Addition,37.76931038,-122.4338563,Entire home/apt,170,1,179,1/11/2019,1.54,1,65
5858,Creative Sanctuary,8904,Philip And Tania,,Bernal Heights,37.74511233,-122.4210179,Entire home/apt,235,30,111,8/6/2017,0.93,1,0
7918,A Friendly Room - UCSF/USF - San Francisco,21994,Aaron,,Haight Ashbury,37.7666896,-122.4525046,Private room,65,32,17,11/21/2016,0.15,9,365
8142,Friendly Room Apt. Style -UCSF/USF - San Francisco,21994,Aaron,,Haight Ashbury,37.76487219,-122.451828,Private room,65,32,8,9/12/2018,0.15,9,365
8339,Historic Alamo Square Victorian,24215,Rosy,,Western Addition,37.77524859,-122.4363737,Entire home/apt,785,7,27,8/11/2018,0.24,2,90
8567,Lovely 2BR flat Great Location,25601,Sandy,,Western Addition,37.78470745,-122.4455543,Entire home/apt,255,2,31,9/2/2018,0.27,1,40
8739,"Mission Sunshine, with Private Bath",7149,Ivan & Wendy,,Mission,37.7591889,-122.4223669,Private room,139,1,640,1/27/2019,5.53,2,138
9225,Artful Potrero Separate Floor with Garden,29674,Gae,,Potrero Hill,37.76258885,-122.4054306,Private room,135,1,442,1/28/2019,3.92,1,326
10251,Victorian Suite in Inner Mission,35199,Roman & Sarah,,Mission,37.75874295,-122.413272,Entire home/apt,265,3,315,1/28/2019,2.76,1,227
10819,Spacious 3BED/2BATH Apartment in Marina District,38836,Bernat,,Marina,37.80060136,-122.4250454,Entire home/apt,218,30,22,12/14/2015,0.31,42,364
10820,Haight Buena Vista Park Garden 3BR,38836,Bernat,,Haight Ashbury,37.77187372,-122.4385911,Entire home/apt,177,30,37,12/1/2018,0.33,42,315
